iter	Passed	Remaining
0	0	431
1	0	394
2	1	402
3	1	373
4	1	381
5	2	381
6	2	383
7	3	379
8	3	371
9	3	362
10	4	375
11	4	389
12	5	384
13	5	386
14	5	385
15	6	385
16	6	381
17	6	379
18	7	375
19	7	377
20	8	381
21	8	383
22	8	378
23	9	377
24	9	376
25	10	379
26	10	376
27	10	378
28	11	377
29	11	375
30	11	372
31	12	371
32	12	372
33	13	371
34	13	369
35	13	372
36	14	371
37	14	368
38	14	368
39	15	367
40	15	368
41	16	365
42	16	365
43	16	363
44	17	364
45	17	363
46	17	362
47	18	362
48	18	362
49	19	362
50	19	361
51	19	361
52	20	360
53	20	359
54	20	357
55	21	356
56	21	355
57	21	354
58	21	350
59	22	350
60	22	348
61	22	347
62	23	346
63	23	346
64	24	347
65	24	346
66	24	346
67	25	346
68	25	347
69	26	347
70	26	349
71	27	348
72	27	347
73	27	348
74	28	346
75	28	346
76	28	345
77	29	345
78	29	345
79	30	345
80	30	344
81	30	343
82	31	343
83	31	343
84	31	343
85	32	343
86	32	342
87	33	342
88	33	342
89	33	342
90	34	341
91	34	340
92	34	340
93	35	339
94	35	338
95	35	337
96	36	337
97	36	338
98	37	338
99	37	337
100	37	336
101	38	335
102	38	335
103	38	335
104	39	335
105	39	334
106	39	333
107	40	333
108	40	333
109	40	330
110	41	330
111	41	329
112	41	329
113	42	328
114	42	327
115	42	326
116	43	326
117	43	326
118	44	326
119	44	326
120	45	327
121	45	326
122	45	326
123	46	326
124	46	325
125	46	325
126	47	324
127	47	323
128	47	323
129	48	322
130	48	321
131	48	321
132	49	320
133	49	319
134	49	319
135	50	318
136	50	319
137	51	318
138	51	318
139	51	317
140	52	316
141	52	316
142	52	315
143	53	315
144	53	315
145	53	315
146	54	314
147	54	314
148	54	313
149	55	313
150	55	312
151	56	312
152	56	312
153	56	311
154	57	311
155	57	310
156	57	310
157	58	310
158	58	309
159	59	309
160	59	309
161	59	308
162	60	308
163	60	307
164	60	306
165	60	306
166	61	305
167	61	305
168	61	304
169	62	304
170	62	303
171	63	303
172	63	303
173	63	303
174	64	303
175	64	303
176	65	302
177	65	302
178	65	302
179	66	301
180	66	301
181	66	300
182	67	300
183	67	300
184	68	300
185	68	299
